fc;P_eddy;P_mag;P_tot;flux_r;flux_i;NI
100000;748.651;2519.5;3268.15;5.37061e-07;-1.87637e-07;0.0521123
123860;1172.15;3871.05;5043.2;5.20641e-07;-2.29293e-07;0.0531526
153413;1852.86;5953.5;7806.36;4.96401e-07;-2.77899e-07;0.0548221
190017;2961.35;9171.01;12132.4;4.61696e-07;-3.32384e-07;0.0575229
235355;4786.49;14162.5;18949;4.14566e-07;-3.89586e-07;0.0618917
291510;7807.71;21945;29752.7;3.55686e-07;-4.43993e-07;0.0688483
361064;12795.7;34131.7;46927.4;2.90051e-07;-4.894e-07;0.0795404
447214;20955.4;53241.3;74196.8;2.25766e-07;-5.2218e-07;0.0951626
553918;34152.4;83128.5;117281;1.69899e-07;-5.42933e-07;0.116803
686083;55268.2;129633;184901;1.25578e-07;-5.54863e-07;0.145478
849781;88719.8;201619;290338;9.24408e-08;-5.61335e-07;0.182304
1.05254e+06;141216;312617;453833;6.84705e-08;-5.6476e-07;0.228673
1.30367e+06;222930;483358;706287;5.13515e-08;-5.66573e-07;0.286403
1.61473e+06;349348;745643;1.09499e+06;3.90917e-08;-5.67551e-07;0.357871
2e+06;544161;1.14827e+06;1.69244e+06;3.01924e-08;-5.68094e-07;0.446151
